"legislator","d1","d2","cluster_original","cluster_corregido","cambio"
"Veloso_Ávila_Consuelo",-0.745180387923081,0.650599223546559,"derecha","izquierda","SI"
"Delgado_Riquelme_Viviana",-0.703166792569232,0.616461275894199,"derecha","izquierda","SI"
"Celedón_Fernández_Roberto",-0.690520228334374,0.618206284224923,"derecha","izquierda","SI"
"Palma_Pérez_Hernán",-0.687571127790511,0.50173604588395,"derecha","izquierda","SI"
"González_Olea_Marta",-0.656820190731072,0.546427883084148,"derecha","izquierda","SI"
"Musante_Müller_Camila",-0.604428440734846,0.653074719898693,"derecha","izquierda","SI"
"Tapia_Ramos_Cristián",-0.583877681388507,0.56136980600198,"derecha","izquierda","SI"
"Riquelme_Aliaga_Marcela",-0.580704804587516,0.990211544776645,"derecha","izquierda","SI"
"Arce_Castro_Mónica",-0.578716971471239,0.98052147477685,"derecha","izquierda","SI"
"Videla_Castillo_Sebastián",-0.52510066860019,0.7758602350507,"derecha","izquierda","SI"
"Araya_Guerrero_Jaime",-0.494596165216378,0.925011878302353,"derecha","izquierda","SI"
"Ulloa_Aguilera_Héctor",-0.459079001423847,0.609456442370427,"derecha","izquierda","SI"
"Lagomarsino_Guzmán_Tomás",-0.43539260343481,0.891423470093,"derecha","izquierda","SI"
"Bianchi_Chelech_Carlos",-0.383911132893838,0.734715584535903,"derecha","izquierda","SI"
"Oyarzo_Figueroa_Rubén Darío",-0.381084897037588,0.708521331188099,"derecha","izquierda","SI"
"Medina_Vásquez_Karen",-0.22158712872143,0.802406769903716,"derecha","izquierda","SI"
"Camaño_Cárdenas_Felipe",-0.219504280584865,0.781651320159312,"derecha","izquierda","SI"
"Rivas_Sánchez_Gaspar",-0.065042843184413,1.10315626618063,"derecha","izquierda","SI"
"Olivera_De La Fuente_Erika",-0.043182504493252,0.808776320390931,"derecha","izquierda","SI"
"Saffirio_Espinoza_Jorge",-0.0224465721948639,0.766289155362719,"derecha","izquierda","SI"
"Calisto_Águila_Miguel Ángel",0.015944282807009,0.846551809439548,"derecha","izquierda","SI"
"Pérez_Olea_Joanna",0.0246590924479301,0.795549727461232,"derecha","izquierda","SI"
"Pino_Fuentes_Víctor Alejandro",0.0804647602833505,0.794828250240031,"derecha","izquierda","SI"
